query_id,query,group,pretrained_product_id,pretrained_title,finetuned_product_id,finetuned_title,pretrained_label,finetuned_label,winner,notes
q001,giày chạy bộ nam nhẹ,A,B07S8NRRWR,adidas Ultraboost Personal Best giày chạy bộ nam,B07S8NRRWR,adidas Ultraboost Personal Best giày chạy bộ nam,2,2,,
q002,tai nghe bluetooth chống ồn,A,B0BK8QY1JB,"Tai nghe Bluetooth cho tài xế xe tải, không dây với AI giảm tiếng ồn môi trường & micrô tắt tiếng, thời gian nói lên tới 30h, phạm vi không dây 164ft, tai nghe over-ear Bluetooth cho PC, máy tính, Skype",B0C6JMP9LH,"Tai nghe không dây, tai nghe Bluetooth 5.3 tích hợp chống ồn, tai nghe Bluetooth với hiển thị LED năng lượng, âm thanh Hi-Fi Stereo, điều khiển cảm ứng, chống nước/đổ mồ hôi, tai nghe không dây cho iOS/Android",2,2,,
q003,dầu dưỡng tóc giảm rụng,A,27865900,Joico K-Pak Shampoo Dưỡng Tóc Hư Hỏng Cho Cả Nam và Nữ - 33.8 Oz,27865900,Joico K-Pak Shampoo Dưỡng Tóc Hư Hỏng Cho Cả Nam và Nữ - 33.8 Oz,2,2,,
q004,đèn năng lượng mặt trời ngoài trời,A,40297407,"1PC Đèn LED năng lượng mặt trời ngoài trời dạng hoa bồ công anh, trang trí vườn, đèn dây sân, IP65 chống nước, đèn công chúa",41055198,"10 chiếc Đèn Đường Điện Mặt Trời cho Vườn, Đèn Cột Trang Trí Ngoài Trời, Chống Thời Tiết",2,2,,
q005,ốp lưng điện thoại chống sốc,A,39627178,"1 chiếc ốp lưng PC cứng siêu mỏng trong suốt tương thích với Samsung Galaxy Z Flip 5 5G, chống trầy xước",41322531,"IDsarh cho ốp lưng Galaxy S24 Ultra, Bảo vệ chịu lực, Chống sốc, Chống trầy xước, Thiết kế mỏng nhẹ, Kèm giá đỡ cho Samsung Galaxy S24 Ultra 6.8"", Light Blue/Pink, Black, Orange, Rose, Grey, Clear, Navy Blue, Purple, Pink, Black",2,2,,
q021,áo hoodie nam,A,B08CWLGRJD,Áo hoodie nỉ logo J-Class nam Nautica,B08CWLGRJD,Áo hoodie nỉ logo J-Class nam Nautica,2,2,,
q006,áo đen,B,B06XFLHM81,"Black Rhino - The Comfort Collar cổ áo mềm siêu nhẹ neoprene cho mọi giống chó - Độ bền cao, có thể điều chỉnh, phản quang, chịu thời tiết (Large, Pink/Black)",B079FGDSVH,"Amazon Essentials Áo thun dài tay cho bé trai (Previously Spotted Zebra), Đóng gói đa chiếc",0,1,,
q007,dụng cụ xe,B,41216598,"Bộ 1 bộ cờ lê socket đa năng, dụng cụ thủ công cho lái xe, thép chrome vanadi, công cụ sửa chữa ô tô, xe máy, xe đạp chuyên nghiệp, vỏ kim loại bền, 46 chi tiết - Bộ cờ lê ratchet 1/4 inch bền với socket mét cho sửa chữa ô tô, công việc gia đình và dự án DIY - Bao gồm hộp đựng và cấu trúc kim loại chịu lực",B0C5M9HF2P,"Móc Phanh Chống Rỉ & Bền Bỉ, Dụng Cụ Ô Tô Chuyên Dụng Đổi Đệm Phanh, Hệ Phanh, Trục Trục, Các Công Việc Treo Phụ Khác (Yellow/2pcs)",2,2,,
q008,kem dưỡng da,B,33845966,Clarins Super Restorative Night Cream Dưỡng ẩm ban đêm cho mọi loại da 1.6 OZ,33845966,Clarins Super Restorative Night Cream Dưỡng ẩm ban đêm cho mọi loại da 1.6 OZ,2,2,,
q009,ba lô đi học,B,40786083,Bộ 1 Set Ghi Chú Cảm Ơn Giáo Viên - Văn phòng phẩm trường học cho viết và ghi chú nhắc nhở - Giấy nhớ dán SHEIN,B0C27P6VC9,Ngbhtiob Ba lô dễ thương cho du lịch và laptop Daypack in 3D cho bé trai và nam giới,0,2,,
q010,máy sấy tóc,B,39985381,"Cọ xoay uốn tóc 1.5 inch, Đôi PTC, Cọ nhiệt tourmaline ion, 3 trong 1, Đa điện áp cho tóc dài và trung bình, 3 mức nhiệt, Đun nhanh 30s",B07PX6QSH2,"Braun SE5-895 Máy tẩy lông, Thiết bị loại bỏ lông cho phụ nữ, Bao gồm dao cạo và bàn chải làm sạch da mặt, Chống nước, Không dây, Sạc lại",0,0,,
q026,giày nam,B,B079YW5RT8,SOLE Active Medium Wide Shoe Insoles - Size Nam 8 / Size Nữ 10,B00U4ADYCM,Wolverine Nam Overman Nano Toe 10 Inch Chống thấm Contour Welt Giày ủng công việc,1,2,,
q011,áo size XL,C,B0B1HX1F7G,"Billabong Nam Standard 73 Pro Boardshort, 4-Way Performance Stretch, 20 Inch Đường Ngoài",B08FZXZTMY,Agmibrelr Đầm Midi Size Plus Tay Xòe Cổ V Sâu A-Line Swing,0,1,,
q012,dầu dưỡng tóc 250ml,C,39985381,"Cọ xoay uốn tóc 1.5 inch, Đôi PTC, Cọ nhiệt tourmaline ion, 3 trong 1, Đa điện áp cho tóc dài và trung bình, 3 mức nhiệt, Đun nhanh 30s",B0CNZ6ZV14,SAURA LIFE SCIENCE Adivasi Ayurvedic Neelgiri Dầu Dưỡng Tóc Tăng Trưởng -250ML (2),0,2,,
q013,giày size 42 nam,C,B079YW5RT8,SOLE Active Medium Wide Shoe Insoles - Size Nam 8 / Size Nữ 10,B00U4ADYCM,Wolverine Nam Overman Nano Toe 10 Inch Chống thấm Contour Welt Giày ủng công việc,0,1,,
q014,ốp lưng màu hồng,C,12903227,"DAZY 1 chiếc băng đô rộng màu hồng, phong cách thanh lịch, dành cho sử dụng thường ngày",39627178,"1 chiếc ốp lưng PC cứng siêu mỏng trong suốt tương thích với Samsung Galaxy Z Flip 5 5G, chống trầy xước",0,1,,
q015,đèn led màu trắng,C,B0C73CBMKT,"Đầu đèn chiếu sáng rãnh LED 3 màu Kiểu H 10W Đầu đèn trần Spotlight Đèn trần trắng cho chiếu điểm, công việc, nghệ thuật, không nhấp nháy CRI90+ 6 chiếc",B076DGDMD6,"GE Đèn LED, tương đương 60 Watt, trắng mềm, bóng cầu G16, mờ, đế nhỏ (2 chiếc)",2,2,,
q058,son môi màu hồng đất,C,27583299,"14 chiếc vòng tóc hồng cho tóc bím, vòng ngọc sao hình gấu nhỏ, phụ kiện tóc cho tóc và dreadlocks, dễ thương",B099RVK69C,"ETUDE Dear Darling Water Gel Luminous Lip & Cheek Tint | Kéo dài, Chống nước, Không lem | Trang điểm Hàn Quốc | Shade- 01, Strawberry Ade - 9g",0,2,,
q016,bluetooth chong on,D,B09Q2R6FSP,"MusiBaby Bluetooth Speaker, Loa Phát Nhạc Tắm, Loa Chống Nước, Loa Di Động, Dual Pairing, Bluetooth 5.2, Âm Thanh Stereo, Bass Sâu, 1500 Phút Phát Nhạc cho Nhà, Du Lịch, Hồ Bơi, Quà Tặng",B08BKY3KVL,"BUGANI Loa Bluetooth Di động, Loa Bluetooth 40W Âm thanh Stereo, Loa Bluetooth Lớn 24H Phát Nhạc Hỗ trợ Thẻ TF/AUX, IPX6 Chống Nước cho Biển, Cắm Trại, Ngoài Trời và Trong Nhà",2,2,,
q017,giay the thao nam,D,40744132,"10pcs Túi Quà Trong Suốt Có Tay Cầm, Dùng Cho Tiệc, Ngày Gia Đình, Kỷ Niệm, Sinh Nhật, Quà Ơn Lễ, Hộp Đựng Trang Sức, Ngăn Khoá Trang Sức Cho Phụ Nữ và Trẻ Gái, Đựng Tai Nghe, Dây Chuyền, Nhẫn và Phụ Kiện Đám Cưới; Cũng Thích Hợp Cho Trang Trí Nhà Cửa và Quà Cho Phù Dâu",39910069,Unbeatablesale Intensity N3220410MED Áo tập bóng đá nam màu xanh hải quân - Medium,0,0,,
q018,tai nghe khong day co mic,D,41340711,"SHEIN TWS Tai Nghe Không Dây - Tự Do Thực Sự Không Dây, Thiết Kế Công Thái Học Cho Độ Thoải Mái Tối Đa, Âm Thanh HIFI Với Dolby Bass, Gọi HD Stereo ACC, Tương Thích Android Và iPhone, Lý Tưởng Cho Người Yêu Thể Thao Và Âm Nhạc",B0CHYFK238,"Tai nghe không dây, 2023 Thể thao Bluetooth 5.3 với HiFi Stereo, 75H Tai nghe không dây có Mic khử tiếng ồn, IP7 Chống nước, Tai nghe Bluetooth, Màn hình LED, Điều khiển nút, Trắng",1,2,,
q019,den nang luong mat troi,D,20572812,"Bộ 1 Set Phụ kiện Tiệc Công Chúa Cho Bé Gái Bao Gồm 1 Đũa Phép Thuật, 1 Đôi Găng Tay, 1 Vương Miện, Thích Hợp Cho Đóng Vai Tiệc Công Chúa, Biểu Diễn Sân Khấu",B07NSDDG8M,Re Play Made in USA 12 chiếc Bộ Đũa Nĩa Cho Trẻ Nhỏ - làm từ bình sữa tái chế không BPA - an toàn rửa bát - an toàn vi sóng - màu hồng hiện đại - không có hộp đựng,0,0,,
q020,op lung iphone chong soc,D,B09G98L84Y,"ZVE iPhone 13 Pro Ví Đựng Đeo Chéo, Ốp Lưng Khóa Kéo & Chặn RFID, Dây Đeo Cổ Tay, Bao Quà Cho Nữ Tương Thích iPhone 13 Pro (6.1 inch, 2021) - Đen",41415479,"IDsarah Ốp Lưng iPhone 12 Pro Max Với Giá Đỡ Tích Hợp, Bảo Vệ Nặng, Chống Sốc, Chống Xước, Thiết Kế Mỏng, Bảo Vệ Độ Bền, Ốp Cứng Cho iPhone 12 Pro Max 6.7 Inch, Màu Tím/Hồng, Xanh Dương/Xanh Ngọc Bích, Đỏ, Đen, Xanh Nhạt/Hồng",1,2,,
q065,tìm đôi giày chạy bộ giá tầm 1 triệu,E,B0C6KZM3FK,JOSMO Giày đi bộ Unisex-Child First Walker,B08CXLD6F5,adidas Originals Unisex-Child Smooth Runner Giày sneaker,2,2,,
q067,áo khoác mặc đi Đà Lạt mùa lạnh,E,38947416,Anewsta Áo khoác lót áo ngắn tay có mũ màu trơn cho phụ nữ mùa đông,B0CHBGFQY5,"Áo khoác sưởi Yottjacky, Áo khoác sưởi cho nam và nữ, Áo khoác sưởi nam với bộ pin 7.4V 3A 16000mAh",2,2,,
q069,quà sinh nhật cho bạn gái dưới 500k,E,40784535,20 túi quà tặng sinh nhật (6.7 9.8 inch) Happy Birthday Party Favor Bags nhựa Goodies Loot Bags sỉ cho phụ nữ - SHEIN,40784535,20 túi quà tặng sinh nhật (6.7 9.8 inch) Happy Birthday Party Favor Bags nhựa Goodies Loot Bags sỉ cho phụ nữ - SHEIN,2,2,,
q042,sạc nhanh,B,B0BZSBGD3B,"Bedsure Chăn Điện Ấm Twin - Vải Flannel Rãnh Mềm, Nhanh Nóng với 6 Mức Nhiệt & 10 Cài Đặt Thời Gian, Tự Động Tắt 8 Giờ (62x84 inch, Đỏ)",B07L8L39RX,Native Union Dock Sạc Không Dây Phiên Bản Terrazzo - Qi Certified Sạc Nhanh 10W và Đế Đa Năng Tương Thích với iPhone 11/11 Pro/11 Pro Max (Rose),0,2,,
q066,tai nghe dùng học online không bị rè,A,22831787,Máy học cho trẻ nói thẻ flash giáo dục mẫu giáo sách âm thanh điện tử học tiếng Anh,B0C6JMP9LH,"Tai nghe không dây, tai nghe Bluetooth 5.3 tích hợp chống ồn, tai nghe Bluetooth với hiển thị LED năng lượng, âm thanh Hi-Fi Stereo, điều khiển cảm ứng, chống nước/đổ mồ hôi, tai nghe không dây cho iOS/Android",0,2,,
q074,đèn trang trí phòng ngủ màu vàng,C,37995744,"KUNJOULAM Đèn bàn nhỏ, Đèn ngủ đầu giường với chụp đèn màu be có thể điều chỉnh, Đèn mini hiện đại cho phòng ngủ, nhà và văn phòng",B09WQQFNYM,"Đèn Chiếu Hoàng Hôn 16 Chế Độ Đèn Cầu Vồng 360° Quay với Chân Đế, Đèn LED RGB cho Vlog, Ảnh, Tiệc và Trang Trí Phòng Khách",2,1,,
q035,túi xách nữ,B,22988378,"1 chiếc túi xách tay Vintage Fabric Thousand Bird Check Top Shoulder Handbag với khóa kéo đơn giản, phù hợp dùng hàng ngày và du lịch cho phụ nữ",22988378,"1 chiếc túi xách tay Vintage Fabric Thousand Bird Check Top Shoulder Handbag với khóa kéo đơn giản, phù hợp dùng hàng ngày và du lịch cho phụ nữ",2,2,,
