query_id,query,group,model,rank,product_id,title,category,source,label,notes
q001,giày chạy bộ nam nhẹ,A,pretrained,1,B07S8NRRWR,adidas Ultraboost Personal Best giày chạy bộ nam,"Quần áo, Giày & Trang sức > Nam > Giày > Thể thao > Chạy bộ > Chạy bộ đường phố",amazon,,
q001,giày chạy bộ nam nhẹ,A,pretrained,2,B07DX86321,ASICS Nữ Gel-Cumulus 20 Giày chạy bộ,"Quần áo, Giày & Trang sức > Nữ > Giày > Thể thao > Chạy bộ > Đường phố",amazon,,
q001,giày chạy bộ nam nhẹ,A,pretrained,3,B08CGC63WH,Merrell Nam Trail Glove 6 Giày Sneaker,"Quần áo, Giày & Trang sức > Nam > Giày > Thể thao > Chạy bộ > Chạy địa hình",amazon,,
q001,giày chạy bộ nam nhẹ,A,pretrained,4,B08JMD4LMM,adidas Men's Racer Tr21 Giày Chạy Bộ,"Quần áo, Giày & Trang sức > Nam > Giày > Thể thao > Chạy bộ > Chạy địa hình",amazon,,
q001,giày chạy bộ nam nhẹ,A,pretrained,5,B08VRJ6F2Q,ASICS GT-1000 10 Giày chạy bộ nam,"Quần áo, Giày & Trang sức > Nam > Giày > Thể thao > Chạy bộ > Đường phố",amazon,,
q002,tai nghe bluetooth chống ồn,A,pretrained,1,B0BK8QY1JB,"Tai nghe Bluetooth cho tài xế xe tải, không dây với AI giảm tiếng ồn môi trường & micrô tắt tiếng, thời gian nói lên tới 30h, phạm vi không dây 164ft, tai nghe over-ear Bluetooth cho PC, máy tính, Skype","Điện tử > Tai nghe, Earbuds & Phụ kiện > Tai nghe & Earbuds > Tai nghe On-Ear",amazon,,
q002,tai nghe bluetooth chống ồn,A,pretrained,2,B0C6JMP9LH,"Tai nghe không dây, tai nghe Bluetooth 5.3 tích hợp chống ồn, tai nghe Bluetooth với hiển thị LED năng lượng, âm thanh Hi-Fi Stereo, điều khiển cảm ứng, chống nước/đổ mồ hôi, tai nghe không dây cho iOS/Android","Điện tử > Tai nghe, Earbuds & Phụ kiện > Tai nghe & Earbuds > Tai nghe dạng Earbud",amazon,,
q002,tai nghe bluetooth chống ồn,A,pretrained,3,B09Q2R6FSP,"MusiBaby Bluetooth Speaker, Loa Phát Nhạc Tắm, Loa Chống Nước, Loa Di Động, Dual Pairing, Bluetooth 5.2, Âm Thanh Stereo, Bass Sâu, 1500 Phút Phát Nhạc cho Nhà, Du Lịch, Hồ Bơi, Quà Tặng",Điện tử > Âm thanh & Video Di động > Loa & Đế Di động > Loa Bluetooth Di động,amazon,,
q002,tai nghe bluetooth chống ồn,A,pretrained,4,B08BKY3KVL,"BUGANI Loa Bluetooth Di động, Loa Bluetooth 40W Âm thanh Stereo, Loa Bluetooth Lớn 24H Phát Nhạc Hỗ trợ Thẻ TF/AUX, IPX6 Chống Nước cho Biển, Cắm Trại, Ngoài Trời và Trong Nhà",Điện tử > Âm thanh & Video Di động > Loa & Đế Di động > Loa Bluetooth Di động,amazon,,
q002,tai nghe bluetooth chống ồn,A,pretrained,5,39873254,"Tai nghe trong tai có dây tương thích iPhone/iPad Lightning, có điều khiển nhạc, cuộc gọi và âm lượng SHEIN",Điện thoại & Phụ kiện > Phụ kiện điện thoại > Tai nghe & Âm thanh điện thoại > Tai nghe có dây,shein,,
q003,dầu dưỡng tóc giảm rụng,A,pretrained,1,27865900,Joico K-Pak Shampoo Dưỡng Tóc Hư Hỏng Cho Cả Nam và Nữ - 33.8 Oz,Sắc đẹp & Sức khỏe > Chăm sóc cá nhân > Chăm sóc và tạo kiểu tóc > Dầu gội & Dầu xả,shein,,
q003,dầu dưỡng tóc giảm rụng,A,pretrained,2,40116507,"Dây tóc tổng hợp 22 inch dạng lọn xoăn dài, kẹp tóc đuôi ngựa có thể quấn tóc mở rộng (đen+xanh) - Sợi chịu nhiệt",Sắc đẹp & Sức khỏe > Tóc giả & Phụ kiện > Tóc giả tổng hợp > Phụ kiện mở rộng tổng hợp,shein,,
q003,dầu dưỡng tóc giảm rụng,A,pretrained,3,B00IK4TNXI,"ECLIPSE Hair Fibers Light Brown cho tóc mỏng Nam & Nữ - Che phủ tóc rụng trong 15 giây - 100% không thể phát hiện, 30g",Sắc đẹp & Chăm sóc cá nhân > Chăm sóc tóc > Sản phẩm chống rụng tóc > Sợi xây dựng tóc,amazon,,
q003,dầu dưỡng tóc giảm rụng,A,pretrained,4,41312777,"Tóc giả tổng hợp chịu nhiệt với mái tóc ngắn, đường tóc giữa tự nhiên 24inch màu Cam, tóc thẳng, chất lượng cao cho nữ cosplay",Sắc đẹp & Sức khỏe > Tóc giả & Phụ kiện > Tóc giả tổng hợp > Tóc giả dệt tổng hợp,shein,,
q003,dầu dưỡng tóc giảm rụng,A,pretrained,5,39823038,"Tóc giả ponytail nữ hàng ngày tự nhiên 32 inch màu nâu gradient chịu nhiệt cao, bám chắc, sóng nước",Sắc đẹp & Sức khỏe > Tóc giả & Phụ kiện > Tóc giả tổng hợp > Tóc giả mở rộng tổng hợp,shein,,
q004,đèn năng lượng mặt trời ngoài trời,A,pretrained,1,40297407,"1PC Đèn LED năng lượng mặt trời ngoài trời dạng hoa bồ công anh, trang trí vườn, đèn dây sân, IP65 chống nước, đèn công chúa",Nhà & Đời sống > Ngoài trời & Vườn > Đèn chiếu sáng ngoài trời > Đèn sân cỏ,shein,,
q004,đèn năng lượng mặt trời ngoài trời,A,pretrained,2,B07V5LK5J3,"TWINSLUXES Đèn Năng Lượng Mặt Trời Đầu Cột Ngoài Trời - Đèn LED Chống Thấm cho Cột Gỗ 3.5x3.5/4x4/5x5, Bộ 4",Công Cụ & Cải Tiến Nhà Cửa > Đèn & Quạt Trần > Đèn Ngoài Trời > Đèn Đầu Cột,amazon,,
q004,đèn năng lượng mặt trời ngoài trời,A,pretrained,3,41055198,"10 chiếc Đèn Đường Điện Mặt Trời cho Vườn, Đèn Cột Trang Trí Ngoài Trời, Chống Thời Tiết",Nhà & Đời sống > Ngoài trời & Vườn > Cột trang trí vườn,shein,,
q004,đèn năng lượng mặt trời ngoài trời,A,pretrained,4,39548686,"1 chiếc Đèn treo đầu lâu năng lượng mặt trời với 6 LED thay đổi màu, phù hợp cho Halloween, tiệc ma, sân vườn, quán bar",Công cụ & Cải thiện nhà > Đèn chiếu sáng & Đèn > Đèn ngoài trời > Đèn treo ngoài trời,shein,,
q004,đèn năng lượng mặt trời ngoài trời,A,pretrained,5,B089N74ZRN,"OLIGHT Perun Mini Đèn đầu LED 1000 Lumen Sạc lại, Đèn pin góc phải kèm dây đai, Đèn cầm tay EDC cho cắm trại, chạy bộ, ngoài trời, mất điện, câu cá ban đêm và đi xe",Dụng cụ & Cải thiện nhà > An toàn & Bảo mật > Đèn pin > Đèn pin cầm tay tự do > Đèn đầu,amazon,,
q005,ốp lưng điện thoại chống sốc,A,pretrained,1,39627178,"1 chiếc ốp lưng PC cứng siêu mỏng trong suốt tương thích với Samsung Galaxy Z Flip 5 5G, chống trầy xước",Điện thoại & Phụ kiện > Ốp lưng > Ốp lưng điện thoại > Ốp lưng cơ bản,shein,,
q005,ốp lưng điện thoại chống sốc,A,pretrained,2,B09M99SBQ3,"NZND Ốp lưng cho At&t Motivate 3 (phiên bản 3)/ Motivate 2 (phiên bản 2)/ Cricket Icon 3/ Cricket Splendor kèm bảo vệ màn hình cường lực, móc vòng/ dây đeo cổ tay, ốp lưng chất lỏng lấp lánh (hồng/xanh nước biển)","Điện thoại di động & Phụ kiện > Ốp lưng, Bao đựng & Túi > Ốp lưng cơ bản",amazon,,
q005,ốp lưng điện thoại chống sốc,A,pretrained,3,25181672,"1 chiếc ốp bảo vệ tương thích với remote TV thông minh Samsung, vỏ silicone chống trượt, có dây đeo phát sáng trong bóng tối, nhiều màu sắc",Nhà cửa & Sinh hoạt > Hàng gia dụng > Vỏ bọc > Ốp remote,shein,,
q005,ốp lưng điện thoại chống sốc,A,pretrained,4,41322531,"IDsarh cho ốp lưng Galaxy S24 Ultra, Bảo vệ chịu lực, Chống sốc, Chống trầy xước, Thiết kế mỏng nhẹ, Kèm giá đỡ cho Samsung Galaxy S24 Ultra 6.8"", Light Blue/Pink, Black, Orange, Rose, Grey, Clear, Navy Blue, Purple, Pink, Black",Điện thoại & Phụ kiện > Ốp lưng > Ốp điện thoại > Ốp có giá đỡ,shein,,
q005,ốp lưng điện thoại chống sốc,A,pretrained,5,40649662,Giá đỡ điện thoại gắn trên ống gió xe hơi có thể điều chỉnh 360 độ SHEIN,Điện thoại & Phụ kiện > Giá đỡ & Giá đỡ điện thoại > Giá đỡ điện thoại ô tô,shein,,
q006,áo đen,B,pretrained,1,B06XFLHM81,"Black Rhino - The Comfort Collar cổ áo mềm siêu nhẹ neoprene cho mọi giống chó - Độ bền cao, có thể điều chỉnh, phản quang, chịu thời tiết (Large, Pink/Black)","Đồ dùng cho thú cưng > Chó > Dây cổ, áo khoác & dây dắt > Dây cổ > Dây cổ cơ bản",amazon,,
q006,áo đen,B,pretrained,2,B078JXHTWR,"Ambesonne Màn Chắn Tắm Llama, Họa Tiết Tam Giác Trừu Tượng Alpaca Đen Trắng, Vải Vải Trang Trí Phòng Tắm Kèm Móc, 69"" W x 70"" L, Trắng Than","Nhà & Bếp > Phòng Tắm > Phụ Kiện Phòng Tắm > Màn Chắn Tắm, Móc & Lớp Lót > Bộ Màn Chắn Tắm",amazon,,
q006,áo đen,B,pretrained,3,39962322,"Dây thắt lưng da thật dày kiểu Italian cho nam, chốt đồng thỏi cổ điển",Nam > Phụ kiện thời trang nam > Dây thắt lưng & Phụ kiện dây thắt lưng > Dây thắt lưng nam,shein,,
q006,áo đen,B,pretrained,4,40785873,"1 chiếc Kính Thời Trang Khung Acrylic Đen Unisex Dành cho Trẻ 8-12 tuổi, Phù hợp dùng hàng ngày",Trẻ em > Phụ kiện trẻ em > Kính mắt & Phụ kiện mắt cho trẻ > Kính thời trang trẻ em,shein,,
q006,áo đen,B,pretrained,5,39841048,"Unbeatablesale PIX North America A34 36 In. FHP V-Belt, Đen",Dụng cụ & Cải thiện nhà > Lưu trữ & Tổ chức dụng cụ > Túi đựng dụng cụ,shein,,
q007,dụng cụ xe,B,pretrained,1,41216598,"Bộ 1 bộ cờ lê socket đa năng, dụng cụ thủ công cho lái xe, thép chrome vanadi, công cụ sửa chữa ô tô, xe máy, xe đạp chuyên nghiệp, vỏ kim loại bền, 46 chi tiết - Bộ cờ lê ratchet 1/4 inch bền với socket mét cho sửa chữa ô tô, công việc gia đình và dự án DIY - Bao gồm hộp đựng và cấu trúc kim loại chịu lực",Dụng cụ & Cải thiện nhà > Bộ dụng cụ tay & điện > Bộ dụng cụ tay,shein,,
q007,dụng cụ xe,B,pretrained,2,B08ZKXX16F,"Bộ tổ chức lưới ô tô 3 lớp, Túi lưới đa năng giữa ghế, Rào lưới an toàn cho chó và trẻ em ở ghế sau, Giá đỡ túi xách, ví, giấy vệ sinh, Túi lưu trữ cho người lái",Ô tô > Phụ kiện nội thất > Bảng điều khiển & Ngăn chứa > Ngăn ghế sau,amazon,,
q007,dụng cụ xe,B,pretrained,3,B00080QHMM,"Accutire MS-4021B Đồng hồ đo áp suất lốp kỹ thuật số kèm 4 nắp van, dải 5-150psi (psi, bar, kPa, kg/cm2)",Ô tô > Dụng cụ & Thiết bị > Dụng cụ lốp & bánh xe > Dụng cụ sửa chữa lốp,amazon,,
q007,dụng cụ xe,B,pretrained,4,B001HWGJAK,"Ridgid 62990 T-201 5"" Đầu khoan xoắn thẳng",Công cụ & Cải thiện nhà > Dụng cụ điện & Cầm tay > Phụ kiện & Linh kiện dụng cụ điện > Phụ kiện & Linh kiện khoan điện > Mũi khoan > Đầu khoan xoắn,amazon,,
q007,dụng cụ xe,B,pretrained,5,B0CPBK1YGN,"KINOWJI Máy sưởi ô tô 12V, 200W, máy làm tan sương và rã đông kính chắn gió di động, quạt sưởi & làm mát nhanh với cắm cọc thuốc lá",Điện tử > Điện tử ô tô & phương tiện > Phụ kiện điện tử xe > Lắp đặt âm thanh & video xe > Lắp đặt ampli > Quạt làm mát,amazon,,
q008,kem dưỡng da,B,pretrained,1,33845966,Clarins Super Restorative Night Cream Dưỡng ẩm ban đêm cho mọi loại da 1.6 OZ,Sắc đẹp & Sức khỏe > Chăm sóc cá nhân > Chăm sóc da > Kem dưỡng ẩm,shein,,
q008,kem dưỡng da,B,pretrained,2,41315201,Tay Găng Lò Nướng 'It's Not Going To Lick Itself' Hài Hước Giáng Sinh Kẹo Que,Nhà & Đời sống > Nhà bếp & Ăn uống > Dụng cụ nướng > Găng tay & Ống bảo vệ lò nướng,shein,,
q008,kem dưỡng da,B,pretrained,3,B00NPA2WEY,All Good Dầu Dừa Hữu Cơ Skin Food - Dưỡng ẩm tự nhiên - Không GMO - Thuần chay (Coconut),Làm đẹp & Chăm sóc cá nhân > Chăm sóc da > Thân thể > Dưỡng ẩm > Dầu,amazon,,
q008,kem dưỡng da,B,pretrained,4,B009W7LW4U,"DEMETER Thunderstorm Roll On Perfume Oil, 0.33 Oz, Lưu Hương Lâu Dài",Sắc Đẹp & Chăm Sóc Cá Nhân > Nước Hoa > Nữ > Nước Hoa Cột,amazon,,
q008,kem dưỡng da,B,pretrained,5,B00YEJYSEM,"Fogg Marco Nước Xịt Khử Mùi Không Gas Dành Cho Nam, Xịt Thơm Lâu Trôi, 150 ml",Sắc đẹp > Chăm sóc cơ thể > Khử mùi & Chống mồ hôi > Khử mùi,amazon,,
q009,ba lô đi học,B,pretrained,1,40786083,Bộ 1 Set Ghi Chú Cảm Ơn Giáo Viên - Văn phòng phẩm trường học cho viết và ghi chú nhắc nhở - Giấy nhớ dán SHEIN,"Đồ chơi & Trò chơi > Đồ chơi giáo dục cho trẻ > Đọc & Viết cho trẻ > Sổ nhật ký, nhật ký & sổ tay",shein,,
q009,ba lô đi học,B,pretrained,2,30403834,"Bộ sưu tập xuân mới Túi xách tay Jacquard thêu họa tiết dung tích lớn (Mẫu ngẫu nhiên) Túi học sinh, Ba lô trở lại trường, Túi học sinh, Phù hợp cho cô gái trẻ, sinh viên đại học, hoàn hảo cho ngày đầu tiên đến trường",Túi & Vali > Túi nữ > Túi tote nữ,shein,,
q009,ba lô đi học,B,pretrained,3,148385454X,"World of Eric Carle | Brown Bear, Brown Bear, What Do You See? Thẻ học song ngữ | Tiếng Anh và Tiếng Tây Ban Nha, 54 chiếc",Sản phẩm Văn phòng > Văn phòng & Đồ dùng học tập > Giáo dục & Thủ công > Vật liệu Giáo dục Mầm non,amazon,,
q009,ba lô đi học,B,pretrained,4,39708590,"1 chiếc Giấy Ghi Chú Dán Trong Suốt, Mỗi Gói 50 tờ, Dùng cho Lập Kế Hoạch, Tóm Tắt Điểm Chính, Phù hợp cho Học sinh, Giáo viên và Nhân viên Văn phòng, Dành cho Trường học và Văn phòng",Văn phòng & Đồ dùng học tập > Sổ tay & Bảng viết > Giấy ghi chú dán,shein,,
