query_id,query,group,pretrained_product_id,pretrained_title,pretrained_category,finetuned_product_id,finetuned_title,finetuned_category,same_top1
q001,giày chạy bộ nam nhẹ,A,B07S8NRRWR,adidas Ultraboost Personal Best giày chạy bộ nam,"Quần áo, Giày & Trang sức > Nam > Giày > Thể thao > Chạy bộ > Chạy bộ đường phố",B093LSW6GT,Sperry Nam Halyard CVO Sneaker,"Quần áo, Giày & Trang sức > Nam > Giày > Giày thể thao thời trang",False
q002,tai nghe bluetooth chống ồn,A,B0C6JMP9LH,"Tai nghe không dây, tai nghe Bluetooth 5.3 tích hợp chống ồn, tai nghe Bluetooth với hiển thị LED năng lượng, âm thanh Hi-Fi Stereo, điều khiển cảm ứng, chống nước/đổ mồ hôi, tai nghe không dây cho iOS/Android","Điện tử > Tai nghe, Earbuds & Phụ kiện > Tai nghe & Earbuds > Tai nghe dạng Earbud",B0BK8QY1JB,"Tai nghe Bluetooth cho tài xế xe tải, không dây với AI giảm tiếng ồn môi trường & micrô tắt tiếng, thời gian nói lên tới 30h, phạm vi không dây 164ft, tai nghe over-ear Bluetooth cho PC, máy tính, Skype","Điện tử > Tai nghe, Earbuds & Phụ kiện > Tai nghe & Earbuds > Tai nghe On-Ear",False
q003,dầu dưỡng tóc giảm rụng,A,B0CNZ6ZV14,SAURA LIFE SCIENCE Adivasi Ayurvedic Neelgiri Dầu Dưỡng Tóc Tăng Trưởng -250ML (2),Sắc đẹp > Chăm sóc tóc > Dầu dưỡng tóc,B0CNZ6ZV14,SAURA LIFE SCIENCE Adivasi Ayurvedic Neelgiri Dầu Dưỡng Tóc Tăng Trưởng -250ML (2),Sắc đẹp > Chăm sóc tóc > Dầu dưỡng tóc,True
q004,đèn năng lượng mặt trời ngoài trời,A,41055198,"10 chiếc Đèn Đường Điện Mặt Trời cho Vườn, Đèn Cột Trang Trí Ngoài Trời, Chống Thời Tiết",Nhà & Đời sống > Ngoài trời & Vườn > Cột trang trí vườn,40297407,"1PC Đèn LED năng lượng mặt trời ngoài trời dạng hoa bồ công anh, trang trí vườn, đèn dây sân, IP65 chống nước, đèn công chúa",Nhà & Đời sống > Ngoài trời & Vườn > Đèn chiếu sáng ngoài trời > Đèn sân cỏ,False
q005,ốp lưng điện thoại chống sốc,A,B07Y7VHGWK,"BENTOBEN ốp lưng iPhone 6S Plus, iPhone 6 Plus, Bảo vệ chịu va đập cứng cáp 3 trong 1 Hybrid PC cứng + silicone mềm, màu Gunmetal","Điện thoại & Phụ kiện > Ốp lưng, Bao đựng & Túi > Ốp lưng cơ bản",41335316,"IDsarah Ốp Lưng Galaxy S22 Với Bảo Vệ, Hút Chấn Nặng, Độ Bền Cao, Kiểm Tra Rơi, Thiết Kế Mỏng, Kèm Giá Đỡ Gắn Xe Hơi, Chân Đỡ, Nhẹ, Bảo Vệ Điện Thoại Galaxy S22 6.1 inch, Màu Đỏ, Đen, Xanh, Vàng Hồng, Xanh Đậm",Điện Thoại & Phụ Kiện > Ốp Lưng > Ốp Lưng Điện Thoại > Ốp Lưng Đứng,False
q006,áo đen,B,38947416,Anewsta Áo khoác lót áo ngắn tay có mũ màu trơn cho phụ nữ mùa đông,Thời trang Nữ > Quần áo Nữ > Áo khoác ngoài Nữ > Áo khoác mùa đông Nữ,B08LNZBWHP,Under Armour Nam ColdGear Compression Mock,"Quần áo, Giày & Trang sức > Nam > Quần áo > Thể thao > Lớp nền & Nén > Áo",False
q007,dụng cụ xe,B,41216598,"Bộ 1 bộ cờ lê socket đa năng, dụng cụ thủ công cho lái xe, thép chrome vanadi, công cụ sửa chữa ô tô, xe máy, xe đạp chuyên nghiệp, vỏ kim loại bền, 46 chi tiết - Bộ cờ lê ratchet 1/4 inch bền với socket mét cho sửa chữa ô tô, công việc gia đình và dự án DIY - Bao gồm hộp đựng và cấu trúc kim loại chịu lực",Dụng cụ & Cải thiện nhà > Bộ dụng cụ tay & điện > Bộ dụng cụ tay,B0BLRY7Z69,FBLFOBELI EVA Hard Carrying Case tương thích với bộ dụng cụ cắt gạch thủy tinh Goldblatt 2 chiếc (Chỉ vỏ case),Dụng cụ & Cải thiện nhà > Dụng cụ điện & Cầm tay > Dụng cụ cầm tay > Bộ dụng cụ,False
q008,kem dưỡng da,B,39288851,KAHI - Wrinkle Bounce Multi Balm (9g) | Dưỡng ẩm K-Beauty thuần chay chống lão hóa cho da,Sắc đẹp & Sức khỏe > Chăm sóc cá nhân > Chăm sóc da > Kem dưỡng ẩm,33845966,Clarins Super Restorative Night Cream Dưỡng ẩm ban đêm cho mọi loại da 1.6 OZ,Sắc đẹp & Sức khỏe > Chăm sóc cá nhân > Chăm sóc da > Kem dưỡng ẩm,False
q009,ba lô đi học,B,13051530,"Ba lô đeo chéo đa năng cho học sinh trung học, sinh viên năm nhất, túi đeo vai thời trang mini nam, chi tiết váy vuông, túi xách học sinh cho du lịch, đại học, ngoài trời, thể thao, đi làm, túi đeo chéo, túi bên hông vuông cho kỳ nghỉ, quà tặng mùa hè cho bạn trai, quà nam, túi đại học, quà Ngày của Cha, quà cho bố, sách, trở lại trường, ba lô ký túc đa năng cho nam, túi đeo chéo, túi bên hông, vật dụng học tập, túi messenger mùa thu, túi xi lanh, tiền cũ Halloween, Giáng sinh",Túi & Vali > Túi Nam > Túi Đeo Chéo Nam,B0C27P6VC9,Ngbhtiob Ba lô dễ thương cho du lịch và laptop Daypack in 3D cho bé trai và nam giới,"Điện tử > Máy tính & Phụ kiện > Phụ kiện laptop > Túi, ốp & Ống > Ba lô",False
q010,máy sấy tóc,B,B0CPT1QLQR,"IPLUSO 220V to 110V Bộ Chuyển Đổi Điện Áp US sang Châu Âu Travel Plug Adapter cho Máy Sấy Tóc, Adapter Du Lịch Đa Năng với 2 USB-A và 2 USB-C",Điện tử > Phụ kiện nguồn > Bộ chuyển đổi điện áp,40813685,"SHEIN Máy sấy gel móng tay 36 LED UV Portable với 4 hẹn giờ, màn hình LCD, cảm biến tự động, công cụ chuyên nghiệp",Thiết bị gia dụng > Thiết bị chăm sóc cá nhân > Thiết bị làm đẹp & chăm sóc cơ thể > Thiết bị nghệ thuật móng điện tử,False
